,C-index,Censoring accuracy,MAE observed
42,0.8633014119615547,0.9724405355662645,4.409537295521515
55,0.8660440756657817,0.9758110063644155,4.449948675131215
875,0.8683180255259698,0.9764221588434466,4.424429797182446
